순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,연도,HR/AB,규정타석_충족,시즌진행중,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
27,손아섭,NC,0.277,138,617,548,72,152,29,4,4,201,48,1,6,2022,0.0073,True,,37,198,128,1.55,4,0.78,3.9,0.089,72.2,0.248
28,푸이그,키움,0.277,126,547,473,65,131,30,0,21,224,73,0,4,2022,0.0444,True,,51,88,158,0.56,8,0.58,3.83,0.197,83.4,0.284
29,박병호,KT,0.275,124,487,429,72,118,17,0,35,240,98,0,6,2022,0.0816,True,,52,75,111,0.68,11,0.31,3.93,0.284,83.6,0.297
30,류지혁,KIA,0.274,127,477,405,55,111,19,2,2,140,48,8,2,2022,0.0049,True,,23,130,83,1.57,8,0.67,3.93,0.072,55.6,0.253
31,정은원,한화,0.274,140,601,508,67,139,20,2,8,187,49,4,3,2022,0.0157,True,,30,138,125,1.1,4,0.78,4.33,0.094,75.1,0.262
32,박찬호,KIA,0.272,130,566,493,81,134,22,0,4,168,45,8,7,2022,0.0081,True,,26,160,139,1.15,8,0.85,4.0,0.069,67.1,0.24
33,오지환,LG,0.269,142,569,494,75,133,16,4,25,232,87,3,3,2022,0.0506,True,,45,135,122,1.11,11,0.58,4.07,0.2,84.1,0.278
34,오재일,삼성,0.268,135,536,470,57,126,42,0,21,231,94,0,7,2022,0.0447,True,,63,88,130,0.68,5,0.43,4.01,0.223,79.3,0.278
35,이지영,키움,0.267,137,450,420,38,112,13,4,2,139,37,8,0,2022,0.0048,True,,19,158,106,1.49,6,0.45,3.37,0.064,36.4,0.219
35,박민우,NC,0.267,104,451,390,61,104,22,1,4,140,38,6,3,2022,0.0103,True,,27,123,111,1.11,4,0.76,3.92,0.092,53.5,0.248
37,배정대,KT,0.266,144,575,508,64,135,24,2,6,181,56,5,4,2022,0.0118,True,,32,117,134,0.87,9,0.43,4.12,0.091,67.7,0.242
38,최정,SSG,0.266,121,505,414,80,110,21,0,26,209,87,0,6,2022,0.0628,True,,47,72,142,0.51,9,0.69,3.92,0.239,85.1,0.3
39,최형우,KIA,0.264,132,530,454,55,120,27,1,14,191,71,0,2,2022,0.0308,True,,42,114,130,0.88,6,0.79,4.22,0.156,71.1,0.27
40,한유섬,SSG,0.264,135,545,458,62,121,33,1,21,219,100,0,5,2022,0.0459,True,,55,114,91,1.25,15,0.48,4.02,0.214,82.7,0.287
41,강승호,두산,0.264,134,487,444,54,117,28,1,10,177,62,6,5,2022,0.0225,True,,39,98,134,0.73,11,0.29,3.45,0.135,55.1,0.239
42,황재균,KT,0.262,141,581,519,59,136,25,3,10,197,64,2,2,2022,0.0193,True,,38,132,154,0.86,4,0.54,3.82,0.118,63.2,0.246
43,정수빈,두산,0.259,127,455,405,58,105,12,4,3,134,41,6,4,2022,0.0074,True,,19,153,95,1.61,3,0.7,3.81,0.072,47.3,0.228
44,추신수,SSG,0.259,112,499,409,77,106,20,1,16,176,58,2,4,2022,0.0391,True,,37,101,106,0.95,5,0.71,4.09,0.171,73.8,0.279
45,하주석,한화,0.258,125,483,445,50,115,18,2,5,152,58,1,3,2022,0.0112,True,,25,134,73,1.84,9,0.25,3.83,0.083,49.4,0.225
46,황대인,KIA,0.256,129,524,476,40,122,27,0,14,191,91,0,5,2022,0.0294,True,,41,121,146,0.83,8,0.39,3.53,0.145,56.4,0.242
47,유강남,LG,0.255,139,469,416,54,106,16,0,8,146,47,6,2,2022,0.0192,True,,24,102,112,0.91,4,0.35,3.93,0.096,48.2,0.234
48,김재환,두산,0.248,128,517,448,64,111,24,1,23,206,72,0,4,2022,0.0513,True,,48,98,110,0.89,4,0.46,3.93,0.212,73.0,0.268
49,송성문,키움,0.247,142,601,547,67,135,21,4,13,203,79,1,7,2022,0.0238,True,,38,156,198,0.79,11,0.69,3.57,0.124,63.4,0.229
50,양석환,두산,0.244,107,446,405,58,99,14,1,20,175,51,0,2,2022,0.0494,False,,35,67,140,0.48,5,0.32,3.85,0.188,56.4,0.247
51,박동원,KIA,0.242,123,447,385,52,93,21,0,18,168,57,7,1,2022,0.0468,False,,39,104,94,1.11,6,0.47,4.1,0.195,56.5,0.259
52,김태연,한화,0.24,119,464,404,46,97,18,0,7,136,53,3,4,2022,0.0173,True,,25,102,103,0.99,3,0.45,4.11,0.097,46.7,0.231
53,심우준,KT,0.24,132,449,388,69,93,8,2,4,117,34,11,4,2022,0.0103,False,,14,104,120,0.87,4,0.57,4.31,0.062,42.6,0.218
1,에레디아,SSG,0.36,136,591,541,82,195,31,1,21,291,118,0,9,2023,0.0388,True,,53,128,154,0.83,13,0.38,3.46,0.177,105.2,0.314
2,레이예스,롯데,0.352,144,632,574,88,202,40,3,15,293,111,0,11,2023,0.0261,True,,58,168,133,1.26,13,0.56,3.87,0.159,106.2,0.305
3,김도영,KIA,0.347,141,625,544,143,189,29,10,38,352,109,1,7,2023,0.0699,True,,77,101,151,0.67,15,0.6,3.81,0.3,138.2,0.351
4,구자욱,삼성,0.343,129,568,493,92,169,39,1,33,309,115,2,6,2023,0.0669,True,,73,128,129,0.99,12,0.75,3.8,0.284,118.5,0.344
5,송성문,키움,0.34,142,602,527,88,179,29,4,19,273,104,0,8,2023,0.0361,True,,52,136,138,0.99,11,0.78,3.88,0.178,111.4,0.314
6,홍창기,LG,0.336,139,637,524,96,176,18,3,5,215,73,1,4,2023,0.0095,True,,26,159,100,1.59,6,1.03,4.14,0.074,99.5,0.304
7,로하스,KT,0.329,144,670,572,108,188,39,1,32,325,112,0,4,2023,0.0559,True,,72,112,161,0.7,12,0.77,4.0,0.24,126.7,0.331
8,김선빈,KIA,0.329,116,466,423,48,139,23,0,9,189,57,7,0,2023,0.0213,True,,32,139,106,1.31,4,0.77,3.8,0.118,65.1,0.283
9,박민우,NC,0.328,121,528,457,75,150,26,2,8,204,50,4,4,2023,0.0175,True,,36,106,126,0.84,3,0.68,3.9,0.118,85.4,0.294
10,김혜성,키움,0.326,127,567,509,90,166,26,4,11,233,75,0,7,2023,0.0216,True,,41,132,156,0.85,9,0.76,3.82,0.132,90.9,0.287
11,오스틴,LG,0.319,140,604,527,99,168,32,3,32,302,132,0,13,2023,0.0607,True,,67,100,190,0.53,14,0.74,3.78,0.254,112.1,0.316
12,김지찬,삼성,0.316,135,535,453,102,143,16,3,3,174,36,12,1,2023,0.0066,True,,22,153,118,1.3,3,1.5,3.78,0.068,79.8,0.278
13,양의지,두산,0.314,119,485,430,57,135,18,1,17,206,94,0,6,2023,0.0395,True,,36,96,149,0.64,15,0.71,3.71,0.165,74.6,0.29
14,나승엽,롯데,0.312,121,489,407,59,127,35,4,7,191,66,2,7,2023,0.0172,True,,46,88,116,0.76,5,0.83,4.05,0.157,80.2,0.302
15,소크라테스,KIA,0.31,140,602,552,92,171,30,3,26,285,97,0,5,2023,0.0471,True,,59,125,170,0.74,9,0.45,3.66,0.207,98.1,0.291
16,허경민,두산,0.309,115,477,417,69,129,28,0,7,178,61,0,6,2023,0.0168,True,,35,125,144,0.87,4,1.44,3.69,0.118,69.3,0.28
17,고승민,롯데,0.308,120,532,481,79,148,27,6,14,229,87,1,8,2023,0.0291,True,,47,124,139,0.89,6,0.53,3.85,0.168,78.9,0.28
18,박찬호,KIA,0.307,134,577,515,86,158,24,1,5,199,61,7,6,2023,0.0097,True,,30,165,154,1.07,7,1.09,3.76,0.08,72.2,0.26
19,데이비슨,NC,0.306,131,567,504,90,154,25,1,46,319,119,0,7,2023,0.0913,True,,72,83,132,0.63,9,0.27,3.78,0.327,110.1,0.325
20,강민호,삼성,0.303,136,452,403,48,122,19,1,19,200,77,0,6,2023,0.0471,True,,39,124,111,1.12,9,0.67,3.46,0.194,68.8,0.288
21,박성한,SSG,0.301,137,564,489,78,147,24,0,10,201,67,3,6,2023,0.0204,True,,34,139,123,1.13,5,0.74,4.23,0.11,78.5,0.274
22,문보경,LG,0.301,144,602,519,80,156,35,3,22,263,101,3,13,2023,0.0424,True,,60,125,139,0.9,7,0.58,4.04,0.206,96.0,0.294
23,권희동,NC,0.3,123,511,416,66,125,22,1,13,188,77,2,6,2023,0.0312,True,,36,113,121,0.93,8,1.22,4.54,0.151,82.2,0.301
24,안치홍,한화,0.3,128,533,473,64,142,21,0,13,202,66,1,4,2023,0.0275,True,,34,118,147,0.8,8,0.7,3.91,0.127,73.8,0.273
25,신민재,LG,0.297,128,474,387,78,115,11,6,0,138,40,15,3,2023,0.0,True,,17,145,83,1.75,3,1.36,3.73,0.059,63.0,0.27
26,김현수,LG,0.294,137,583,517,61,152,36,2,8,216,69,1,9,2023,0.0155,True,,46,125,173,0.72,10,0.62,3.73,0.124,78.4,0.265
27,윤동희,롯데,0.293,141,613,532,97,156,35,4,14,241,85,2,5,2023,0.0263,True,,53,134,133,1.01,6,0.59,4.26,0.16,88.3,0.282
28,전준우,롯데,0.293,109,483,423,57,124,26,2,17,205,82,1,5,2023,0.0402,True,,45,102,118,0.86,5,0.58,3.83,0.191,73.6,0.287
29,최원준,KIA,0.292,136,508,438,75,128,23,3,9,184,56,7,5,2023,0.0205,True,,35,127,122,1.04,8,0.76,4.01,0.128,71.2,0.272
30,최정,SSG,0.291,129,550,468,93,136,27,2,37,278,107,0,7,2023,0.0791,True,,66,75,150,0.5,14,0.48,3.84,0.303,103.9,0.321
31,김태연,한화,0.291,126,472,413,59,120,24,0,12,180,61,6,4,2023,0.0291,True,,36,100,108,0.93,3,0.51,3.92,0.145,64.8,0.272
32,강백호,KT,0.289,144,614,550,92,159,27,0,26,264,96,0,2,2023,0.0473,True,,53,139,127,1.09,9,0.46,4.0,0.191,93.4,0.282
33,이우성,KIA,0.288,112,449,399,56,115,16,1,9,160,54,0,3,2023,0.0226,False,,26,108,90,1.2,7,0.49,4.0,0.113,55.5,0.263
34,서호철,NC,0.285,141,567,512,68,146,19,3,10,201,61,6,3,2023,0.0195,True,,32,141,127,1.11,4,0.3,3.78,0.107,65.1,0.252
35,정수빈,두산,0.284,136,608,510,95,145,21,3,4,184,47,10,8,2023,0.0078,True,,28,160,141,1.13,4,0.99,4.1,0.076,81.8,0.259
36,김재환,두산,0.283,136,552,474,78,134,28,0,29,249,92,0,9,2023,0.0612,True,,57,65,116,0.56,7,0.38,4.02,0.243,91.9,0.297
