순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,연도,HR/AB,규정타석_충족,시즌진행중,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
56,한유섬,SSG,0.235,132,523,464,64,109,29,0,24,210,87,1,3,2024,0.0517,True,,53,90,126,0.71,8,0.32,4.14,0.218,68.9,0.255
1,양의지,두산,0.337,130,517,454,56,153,27,1,20,242,89,0,6,2025,0.0441,True,,48,94,150,0.63,5,0.79,3.71,0.196,91.6,0.316
2,안현민,KT,0.334,112,482,395,72,132,19,4,22,225,80,0,3,2025,0.0557,True,,45,93,101,0.92,7,1.04,4.2,0.235,97.5,0.344
3,김성윤,삼성,0.331,127,538,456,92,151,29,9,6,216,61,10,2,2025,0.0132,True,,44,159,94,1.69,4,1.2,3.67,0.143,87.8,0.307
4,레이예스,롯데,0.326,144,643,573,75,187,44,1,13,272,107,0,9,2025,0.0227,True,,58,185,144,1.28,7,0.88,3.6,0.148,94.9,0.292
5,문현빈,한화,0.32,141,592,528,71,169,30,2,12,239,80,5,11,2025,0.0227,True,,44,148,140,1.06,13,0.46,3.62,0.133,88.0,0.28
6,구자욱,삼성,0.319,142,616,529,106,169,43,2,19,273,96,1,8,2025,0.0359,True,,64,147,130,1.13,15,0.8,4.05,0.197,105.7,0.31
7,송성문,키움,0.315,144,646,574,103,181,37,4,26,304,90,0,3,2025,0.0453,True,,67,139,161,0.86,8,0.71,3.79,0.214,114.9,0.307
8,디아즈,삼성,0.314,144,628,551,93,173,32,0,50,355,158,0,11,2025,0.0907,True,,82,103,186,0.55,16,0.6,3.82,0.33,126.0,0.332
9,신민재,LG,0.313,135,538,463,87,145,15,7,1,177,61,6,4,2025,0.0022,True,,23,191,74,2.58,4,1.09,3.89,0.069,72.5,0.273
10,오스틴,LG,0.313,116,499,425,82,133,25,1,31,253,95,0,11,2025,0.0729,True,,57,74,167,0.44,11,0.98,3.79,0.282,96.2,0.326
11,최형우,KIA,0.307,133,549,469,74,144,30,1,24,248,86,0,5,2025,0.0512,True,,55,103,129,0.8,9,0.68,3.99,0.222,95.1,0.312
12,문성주,LG,0.305,135,542,475,57,145,20,2,3,178,70,0,9,2025,0.0063,True,,25,166,114,1.46,10,0.92,3.77,0.069,69.7,0.263
13,박민우,NC,0.302,117,468,404,64,122,25,8,3,172,67,4,4,2025,0.0074,True,,36,109,113,0.96,6,0.69,3.66,0.124,68.6,0.279
14,케이브,두산,0.299,136,593,538,72,161,28,6,16,249,87,0,8,2025,0.0297,True,,50,129,140,0.92,7,0.37,3.78,0.164,89.1,0.274
15,김현수,LG,0.298,140,552,483,66,144,24,0,12,204,90,0,1,2025,0.0248,True,,36,147,120,1.23,15,0.88,3.89,0.124,77.9,0.278
16,전준우,롯데,0.293,114,472,410,50,120,26,1,8,172,70,3,6,2025,0.0195,True,,35,98,127,0.77,11,0.62,3.7,0.127,64.0,0.271
17,김주원,NC,0.289,144,624,539,98,156,26,8,15,243,65,4,2,2025,0.0278,True,,49,112,162,0.69,3,0.57,3.94,0.161,95.9,0.283
18,채은성,한화,0.288,132,527,480,54,138,27,1,19,224,88,3,0,2025,0.0396,True,,47,117,129,0.91,10,0.32,3.72,0.179,74.5,0.273
19,박찬호,KIA,0.287,134,595,516,75,148,18,2,5,185,42,8,6,2025,0.0097,True,,25,138,167,0.83,3,0.9,3.86,0.072,75.1,0.253
20,최지훈,SSG,0.284,140,574,517,66,147,16,4,7,192,45,4,5,2025,0.0135,True,,27,117,171,0.68,6,0.49,3.91,0.087,72.0,0.247
21,허경민,KT,0.283,114,481,420,47,119,18,0,4,149,44,3,4,2025,0.0095,True,,22,129,141,0.91,5,1.11,3.88,0.071,54.9,0.252
22,류지혁,삼성,0.28,129,464,400,54,112,14,0,1,129,37,14,4,2025,0.0025,True,,15,130,89,1.46,3,0.45,3.82,0.043,47.2,0.239
23,고명준,SSG,0.278,130,500,471,46,131,20,1,17,204,64,0,7,2025,0.0361,True,,38,124,124,1.0,11,0.2,3.38,0.155,60.9,0.246
24,박해민,LG,0.276,144,544,442,80,122,18,2,3,153,43,22,4,2025,0.0068,True,,23,100,130,0.77,3,0.72,3.96,0.07,69.3,0.257
25,문보경,LG,0.276,141,607,515,91,142,21,1,24,237,108,0,9,2025,0.0466,True,,46,162,112,1.45,13,0.73,4.13,0.184,90.2,0.282
26,최주환,키움,0.275,120,506,459,45,126,31,1,12,195,74,0,6,2025,0.0261,True,,44,112,161,0.7,6,0.55,4.07,0.15,64.2,0.255
27,박성한,SSG,0.274,127,538,452,73,124,23,2,7,172,48,2,2,2025,0.0155,True,,32,125,112,1.12,5,0.85,4.51,0.106,69.8,0.268
28,한유섬,SSG,0.273,128,511,455,50,124,24,0,15,193,71,1,2,2025,0.033,True,,39,94,119,0.79,8,0.38,3.95,0.152,67.1,0.262
29,고승민,롯데,0.271,121,538,469,71,127,21,2,4,164,45,6,4,2025,0.0085,True,,27,126,137,0.92,6,0.67,4.0,0.079,60.8,0.245
30,강민호,삼성,0.269,127,465,412,37,111,23,1,12,172,71,1,7,2025,0.0291,True,,36,130,109,1.19,6,0.55,3.62,0.148,56.1,0.255
31,오선우,KIA,0.265,124,474,437,58,116,17,1,18,189,56,0,0,2025,0.0412,True,,36,92,71,1.3,7,0.22,4.07,0.167,56.7,0.253
32,노시환,한화,0.26,144,624,539,97,140,28,2,32,268,101,0,4,2025,0.0594,True,,62,121,157,0.77,16,0.56,3.94,0.237,91.3,0.284
33,정수빈,두산,0.258,132,546,462,89,119,16,4,6,161,38,8,4,2025,0.013,True,,26,182,108,1.69,1,1.07,3.96,0.091,63.5,0.247
34,이재현,삼성,0.254,139,555,457,82,116,29,1,16,195,67,10,8,2025,0.035,True,,46,88,142,0.62,6,0.58,4.37,0.173,76.6,0.269
35,오지환,LG,0.253,127,472,419,57,106,24,1,16,180,62,7,6,2025,0.0382,True,,41,90,114,0.79,6,0.32,4.19,0.177,58.8,0.249
36,박동원,LG,0.253,139,523,451,57,114,25,0,22,205,76,3,5,2025,0.0488,True,,47,110,108,1.02,8,0.5,3.89,0.202,72.2,0.268
37,김휘집,NC,0.249,142,500,429,64,107,18,2,17,180,56,2,2,2025,0.0396,True,,37,95,140,0.68,11,0.45,3.9,0.17,66.3,0.262
38,김영웅,삼성,0.249,125,499,446,66,111,22,2,22,203,72,0,3,2025,0.0493,True,,46,83,112,0.74,3,0.34,3.97,0.206,66.9,0.259
39,장성우,KT,0.247,129,480,413,44,102,13,0,14,157,58,2,8,2025,0.0339,True,,27,86,137,0.63,8,0.57,4.01,0.133,55.5,0.245
40,권희동,NC,0.246,136,456,358,56,88,24,0,6,130,39,8,2,2025,0.0168,True,,30,103,89,1.16,4,0.96,4.47,0.117,56.6,0.268
41,최원준,NC,0.242,126,449,413,62,100,13,3,6,137,44,2,5,2025,0.0145,False,,22,132,115,1.15,3,0.32,3.78,0.09,43.4,0.213
42,이주형,키움,0.24,127,514,446,55,107,22,1,11,164,45,3,0,2025,0.0247,True,,34,131,93,1.41,5,0.32,3.75,0.128,59.6,0.244
43,위즈덤,KIA,0.236,119,486,424,73,100,20,1,35,227,85,0,6,2025,0.0825,True,,56,67,121,0.55,5,0.37,4.39,0.3,75.8,0.278
1,박성한,SSG,0.494,21,99,79,17,39,9,1,1,53,20,0,1,2026,0.0127,True,True,11,18,16,1.13,2,2.57,4.21,0.177,26.4,0.431
2,류지혁,삼성,0.421,21,91,76,18,32,7,1,2,47,14,0,0,2026,0.0263,True,True,10,16,18,0.89,1,1.5,3.96,0.197,21.3,0.387
3,박준순,두산,0.397,20,82,78,8,31,4,2,3,48,14,0,0,2026,0.0385,True,True,9,16,11,1.45,4,0.05,3.27,0.218,16.6,0.346
4,천성호,LG,0.368,20,66,57,12,21,4,0,1,28,8,1,0,2026,0.0175,False,True,5,21,6,3.5,0,0.78,3.79,0.123,11.2,0.323
5,페라자,한화,0.366,21,100,82,21,30,8,0,2,44,13,0,2,2026,0.0244,True,True,10,15,26,0.58,1,1.23,4.09,0.171,20.3,0.341
5,레이예스,롯데,0.366,21,93,82,9,30,3,0,5,48,13,0,1,2026,0.061,True,True,8,16,25,0.64,0,0.75,3.38,0.22,18.6,0.34
7,고명준,SSG,0.365,17,68,63,9,23,5,0,4,40,12,0,0,2026,0.0635,True,True,9,12,14,0.86,2,0.36,3.28,0.27,14.5,0.344
8,문현빈,한화,0.364,20,94,77,18,28,7,2,5,54,22,0,0,2026,0.0649,True,True,14,20,17,1.18,1,1.25,3.67,0.338,21.0,0.391
9,문성주,LG,0.356,21,86,73,6,26,5,0,0,31,10,2,2,2026,0.0,True,True,5,18,22,0.82,3,0.78,3.95,0.068,13.4,0.294
10,박민우,NC,0.338,20,87,74,15,25,7,0,1,35,14,0,0,2026,0.0135,True,True,8,18,19,0.95,2,0.92,3.95,0.135,15.9,0.315
11,오스틴,LG,0.333,21,97,84,19,28,4,1,6,52,16,0,1,2026,0.0714,True,True,11,19,28,0.68,3,1.2,3.67,0.286,19.7,0.34
12,김선빈,KIA,0.329,21,88,70,11,23,4,0,1,30,13,0,1,2026,0.0143,True,True,5,29,13,2.23,0,2.67,4.19,0.1,14.7,0.312
13,이우성,NC,0.322,19,67,59,9,19,6,0,3,34,3,0,0,2026,0.0508,False,True,9,15,13,1.15,0,0.67,4.01,0.254,12.7,0.325
14,김호령,KIA,0.318,22,101,88,14,28,8,0,1,39,10,3,0,2026,0.0114,True,True,9,26,16,1.63,0,0.39,3.58,0.125,14.2,0.285
15,김현수,KT,0.316,22,103,95,14,30,8,0,3,47,20,0,0,2026,0.0316,True,True,11,30,23,1.3,2,0.67,3.8,0.179,14.6,0.29
16,최원준,KT,0.311,21,104,90,16,28,8,1,0,38,11,0,1,2026,0.0,True,True,9,20,26,0.77,1,0.76,3.97,0.111,14.8,0.283
17,노진혁,롯데,0.3,21,81,70,5,21,8,0,3,38,11,0,1,2026,0.0429,True,True,11,11,21,0.52,1,0.56,3.89,0.243,13.9,0.308
17,데일,KIA,0.3,21,90,80,14,24,4,0,1,31,6,1,1,2026,0.0125,True,True,5,29,19,1.53,0,0.89,3.78,0.088,10.5,0.259
19,박찬호,두산,0.296,22,99,81,21,24,6,0,1,33,6,3,0,2026,0.0123,True,True,7,21,19,1.11,0,0.88,3.79,0.111,14.1,0.284
20,한태양,롯데,0.295,20,70,61,7,18,3,0,0,21,1,1,0,2026,0.0,True,True,3,14,17,0.82,0,0.58,4.0,0.049,9.2,0.256
21,강백호,한화,0.292,21,97,89,13,26,5,0,4,43,24,0,1,2026,0.0449,True,True,9,28,19,1.47,1,0.41,3.86,0.191,14.8,0.274
22,디아즈,삼성,0.289,21,96,83,15,24,4,0,3,37,15,0,1,2026,0.0361,True,True,7,18,27,0.67,1,0.8,4.02,0.157,13.6,0.28
23,최형우,삼성,0.286,21,98,77,13,22,3,0,4,37,16,0,1,2026,0.0519,True,True,7,23,26,0.88,1,2.57,3.98,0.195,15.7,0.313
24,박건우,NC,0.278,21,82,72,9,20,5,0,4,37,12,0,0,2026,0.0556,True,True,9,9,24,0.38,2,0.53,3.54,0.236,13.0,0.293
25,문보경,LG,0.277,20,87,65,9,18,3,0,2,27,11,0,2,2026,0.0308,True,True,5,17,16,1.06,1,1.19,4.13,0.138,13.9,0.3
26,한동희,롯데,0.273,17,71,66,5,18,4,0,0,22,4,0,0,2026,0.0,True,True,4,21,16,1.31,1,0.36,3.52,0.061,6.2,0.229
27,한준수,KIA,0.269,21,71,52,9,14,4,0,2,24,8,3,1,2026,0.0385,True,True,6,12,20,0.6,1,2.14,4.1,0.192,10.6,0.307
28,이주형,키움,0.268,20,90,82,12,22,8,1,2,38,12,0,0,2026,0.0244,True,True,11,22,21,1.05,3,0.29,3.66,0.195,13.1,0.266
29,최정,SSG,0.267,21,93,75,13,20,7,1,3,38,9,0,1,2026,0.04,True,True,11,12,25,0.48,2,0.74,3.91,0.24,16.2,0.306
30,김상수,KT,0.266,20,79,64,6,17,3,0,0,20,6,2,1,2026,0.0,True,True,3,19,22,0.86,2,1.57,4.33,0.047,8.0,0.248
31,카스트로,KIA,0.265,21,88,83,15,22,9,0,2,37,16,0,1,2026,0.0241,True,True,11,24,19,1.26,2,0.21,3.91,0.181,9.5,0.244
32,에레디아,SSG,0.264,21,93,91,10,24,3,0,5,42,17,0,1,2026,0.0549,True,True,8,12,37,0.32,1,0.05,3.51,0.198,10.8,0.237
33,박해민,LG,0.263,21,88,76,7,20,4,0,0,24,6,2,1,2026,0.0,True,True,4,18,30,0.6,1,0.67,4.05,0.053,9.9,0.231
34,하주석,한화,0.262,19,66,61,3,16,1,0,0,17,6,1,0,2026,0.0,False,True,1,21,6,3.5,1,0.22,3.53,0.016,5.1,0.208
35,오지환,LG,0.262,20,78,65,9,17,3,0,1,23,13,0,1,2026,0.0154,True,True,4,21,19,1.11,2,1.11,3.83,0.092,10.0,0.256
36,브룩스,키움,0.259,21,95,81,9,21,6,0,0,27,9,0,1,2026,0.0,True,True,6,17,30,0.57,0,0.86,3.8,0.074,10.9,0.244
37,김형준,NC,0.259,20,69,58,4,15,2,0,1,20,10,0,0,2026,0.0172,True,True,3,10,10,1.0,0,0.43,4.1,0.086,7.8,0.256
38,심우준,한화,0.254,18,68,59,15,15,4,0,2,25,10,0,0,2026,0.0339,True,True,6,18,11,1.64,0,0.53,4.01,0.169,10.1,0.265
39,카메론,두산,0.253,22,90,87,10,22,8,1,5,47,8,0,0,2026,0.0575,True,True,14,13,26,0.5,0,0.08,3.58,0.287,11.7,0.26
40,채은성,한화,0.25,21,91,80,9,20,1,0,2,27,10,0,2,2026,0.025,True,True,3,19,27,0.7,0,0.44,3.68,0.088,10.2,0.228
40,김지찬,삼성,0.25,21,95,76,17,19,3,1,0,24,6,0,1,2026,0.0,True,True,4,23,28,0.82,0,2.29,3.59,0.066,12.3,0.254
40,최정원,NC,0.25,19,68,52,7,13,0,0,0,13,1,5,0,2026,0.0,True,True,0,15,13,1.15,0,0.64,3.96,0.0,7.4,0.234
40,이강민,KT,0.25,22,77,72,7,18,1,0,0,19,11,1,1,2026,0.0,True,True,1,21,19,1.11,1,0.13,3.38,0.014,4.9,0.19
40,나성범,KIA,0.25,20,86,72,11,18,2,0,3,29,15,0,1,2026,0.0417,True,True,5,17,15,1.13,3,0.52,4.03,0.153,12.0,0.263
40,김건희,키움,0.25,21,75,64,6,16,4,0,1,23,9,0,3,2026,0.0156,True,True,5,16,11,1.45,1,0.33,3.99,0.109,8.3,0.234
46,안치홍,키움,0.247,21,91,77,5,19,5,0,0,24,4,0,0,2026,0.0,True,True,5,21,20,1.05,0,0.82,4.08,0.065,8.9,0.241
47,장성우,KT,0.247,22,90,73,16,18,5,0,6,41,19,0,1,2026,0.0822,True,True,11,14,22,0.64,2,0.8,4.36,0.315,14.8,0.311
48,김도영,KIA,0.241,22,98,83,17,20,4,0,6,42,19,0,1,2026,0.0723,True,True,10,20,28,0.71,2,0.81,3.55,0.265,14.4,0.283
49,박동원,LG,0.237,20,74,59,11,14,4,0,1,21,11,0,2,2026,0.0169,True,True,5,15,14,1.07,0,0.67,4.03,0.119,9.1,0.253
50,강민호,삼성,0.236,20,65,55,4,13,3,0,0,16,8,0,0,2026,0.0,False,True,3,10,15,0.67,1,0.53,4.43,0.055,5.6,0.232
51,양석환,두산,0.234,19,73,64,5,15,3,0,1,21,4,0,2,2026,0.0156,True,True,4,6,24,0.25,0,0.33,4.12,0.094,7.6,0.217
52,힐리어드,KT,0.233,22,101,86,16,20,3,1,3,34,12,0,3,2026,0.0349,True,True,7,20,23,0.87,0,0.46,3.67,0.163,13.1,0.241
53,김주원,NC,0.229,21,97,83,9,19,3,0,2,28,3,0,0,2026,0.0241,True,True,5,18,33,0.55,1,0.77,3.93,0.108,11.8,0.237
54,양의지,두산,0.227,22,94,75,8,17,4,0,2,27,11,0,4,2026,0.0267,True,True,6,22,33,0.67,0,1.43,3.83,0.133,11.5,0.243
55,정수빈,두산,0.216,22,87,74,7,16,0,0,2,22,10,1,0,2026,0.027,True,True,2,22,22,1.0,2,0.71,4.53,0.081,9.4,0.221
56,최주환,키움,0.212,20,71,66,3,14,2,0,1,19,9,0,1,2026,0.0152,True,True,3,19,22,0.86,0,0.33,4.2,0.076,3.9,0.186
57,데이비슨,NC,0.208,20,81,72,8,15,3,0,3,27,10,0,1,2026,0.0417,True,True,6,15,26,0.58,1,0.29,3.98,0.167,8.2,0.222
58,전준우,롯데,0.205,21,86,78,5,16,2,0,1,21,3,0,1,2026,0.0128,True,True,3,24,28,0.86,0,0.64,3.74,0.064,5.4,0.187
59,최지훈,SSG,0.197,21,87,76,15,15,4,0,4,31,14,1,1,2026,0.0526,True,True,8,20,29,0.69,2,0.54,4.33,0.211,9.8,0.228
60,신민재,LG,0.191,21,78,68,3,13,0,0,0,13,5,2,0,2026,0.0,True,True,0,31,10,3.1,0,0.57,3.97,0.0,3.7,0.172
61,윤동희,롯데,0.19,17,67,63,3,12,3,0,3,24,7,0,0,2026,0.0476,False,True,6,13,21,0.62,1,0.18,3.94,0.19,4.6,0.203
62,노시환,한화,0.169,14,67,59,7,10,1,0,1,14,4,1,0,2026,0.0169,False,True,2,10,16,0.63,0,0.26,4.1,0.068,3.3,0.175
63,홍창기,LG,0.148,17,72,54,6,8,2,0,0,10,3,0,0,2026,0.0,True,True,2,23,7,3.29,1,0.94,4.71,0.037,6.3,0.209
64,김재환,SSG,0.11,21,91,73,7,8,1,0,2,15,9,0,1,2026,0.0274,True,True,3,23,20,1.15,0,0.74,3.97,0.096,5.5,0.175
