연도,팀명,평균순위,순위변동성,최고순위,최저순위
2022,KIA,5.0754716981132075,1.0527069976627448,3,8
2022,KT,5.226415094339623,1.8277901449422298,1,10
2022,LG,2.490566037735849,0.7366355652929435,1,5
2022,NC,8.182389937106919,1.4401799549649705,6,10
2022,SSG,1.0,0.0,1,1
2022,두산,6.264150943396227,2.2260051923372486,1,9
2022,롯데,6.163522012578617,1.6720873555267324,1,8
2022,삼성,6.987421383647798,1.5790857047938052,3,9
2022,키움,3.157232704402516,1.2605734640092017,2,7
2022,한화,9.59119496855346,0.6580931071634489,6,10
2023,KIA,1.0674846625766872,0.2750720299792252,1,3
2023,KT,7.0920245398773005,1.7596640249989675,4,10
2023,LG,3.263803680981595,1.2463686555022413,1,6
2023,NC,5.613496932515337,2.655823216111614,1,10
2023,SSG,5.006134969325154,1.1412411075760667,1,8
2023,두산,4.4969325153374236,1.5005111603487953,2,8
2023,롯데,8.496932515337424,1.0386020586145819,6,10
2023,삼성,3.263803680981595,1.7349999852666451,1,9
2023,키움,8.717791411042946,2.080210110630708,2,10
2023,한화,7.226993865030675,1.8833271500945126,1,10
2024,KIA,1.0674846625766872,0.2750720299792252,1,3
2024,KT,7.0920245398773005,1.7596640249989675,4,10
2024,LG,3.263803680981595,1.2463686555022413,1,6
2024,NC,5.613496932515337,2.655823216111614,1,10
2024,SSG,5.006134969325154,1.1412411075760667,1,8
2024,두산,4.4969325153374236,1.5005111603487953,2,8
2024,롯데,8.496932515337424,1.0386020586145819,6,10
2024,삼성,3.263803680981595,1.7349999852666451,1,9
2024,키움,8.717791411042946,2.080210110630708,2,10
2024,한화,7.226993865030675,1.8833271500945126,1,10
2025,KIA,6.398773006134969,1.6723601910621853,1,10
2025,KT,4.9079754601226995,1.1044791854077722,2,7
2025,LG,1.2576687116564418,0.45255048221526445,1,3
2025,NC,7.067484662576687,1.3199739726008082,3,9
2025,SSG,4.411042944785276,1.5975678325585565,1,8
2025,두산,8.613496932515337,0.8980441943415336,4,10
2025,롯데,4.134969325153374,1.733886441036803,2,10
2025,삼성,5.024539877300613,1.8424048972738736,1,8
2025,키움,9.644171779141104,1.2104533463306664,2,10
2025,한화,2.5153374233128836,2.1584054134134742,1,10
2026,KIA,6.434782608695652,1.9960435173913824,4,10
2026,KT,1.434782608695652,0.66237087637185,1,3
2026,LG,3.652173913043478,2.308259786312347,1,8
2026,NC,4.217391304347826,1.9761422873672196,1,7
2026,SSG,2.608695652173913,1.469048252032049,1,5
2026,두산,7.478260869565218,1.3097385310674972,5,9
2026,롯데,6.956521739130435,2.5668916623660043,1,10
2026,삼성,3.652173913043478,1.9910868583440444,1,8
2026,키움,8.782608695652174,1.4128154270215343,6,10
2026,한화,5.130434782608695,1.7659493410341118,1,7
