피처,중요도
승률,0.3042788145253808
원정승률,0.20322209580964323
홈승률,0.15519646511164886
WHIP_투수,0.0616879805437894
ERA_투수,0.049308294370826976
HR/G_타자,0.04532888436556378
득점/G_타자,0.04229464542754181
FPCT_수비,0.04121921864347467
BB/9_투수,0.03853369982368251
K/9_투수,0.022946762326270062
AVG_타자,0.020274937203754773
SB%_주루,0.015708201848422976
